# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
O4-R3	443850		1.55567e+13
O4-R6	442005		2.15247e+15
O4-S2	499943		1.43114e+14
O4-S3	501387		1.02705e+13
O4-S6	500104		1.46058e+15
O4-T2	521628		2.35298e+14
O4-T3	525192		1.24299e+13
O4-T6	526225		1.01504e+15
O4-U2	553585		1.71423e+14
O4-U3	556255		9.07066e+12
O4-U6	557030		7.49833e+14
O4-V2	577797		1.28979e+14
O4-V3	579848		6.83096e+12
O4-V6	580445		5.69912e+14
O4-W2	596578		9.96077e+13
O4-W3	598188		5.27835e+12
O4-W6	598657		4.43511e+14
O4-X2	611437		7.85985e+13
O4-X3	612724		4.16676e+12
O4-X6	613099		3.52063e+14
O4-Y2	623396		6.3153e+13
O4-Y3	624440		3.34912e+12
O4-Y6	624745		2.84235e+14
O4-Z2	633162		5.15324e+13
O4-Z3	634021		2.73374e+12
O4-Z6	634272		2.32842e+14
O5-O3	7334.06		1.06596e+12
O5-O7	3927.67		9.14792e+10
O5-P3	222303		5.46529e+14
O5-P6	217920		3.98247e+14
O5-P7	220262		5.81747e+15
O5-Q3	351972		3.05103e+14
O5-Q6	349205		2.35609e+14
O5-Q7	350677		3.53637e+15
O5-R3	436055		1.86434e+14
O5-R6	434210		1.48598e+14
O5-R7	435194		2.25639e+15
O5-S3	493592		1.22749e+14
O5-S6	492310		9.95245e+13
O5-S7	492998		1.52539e+15
O5-T3	517397		1.35117e+14
O5-T6	518430		6.86182e+13
O5-T7	518932		1.05774e+15
O5-U3	548460		9.85575e+13
O5-U6	549235		5.0418e+13
O5-U7	549612		7.80056e+14
O5-V3	572054		7.42378e+13
O5-V6	572650		3.81762e+13
O5-V7	572940		5.92146e+14
O5-W3	590393		5.73899e+13
O5-W6	590862		2.96265e+13
O5-W7	591090		4.60386e+14
O5-X3	604929		4.53263e+13
O5-X6	605305		2.34675e+13
O5-X7	605487		3.652e+14
O5-Y3	616646		3.64489e+13
O5-Y6	616951		1.89141e+13
O5-Y7	617099		2.94681e+14
O5-Z3	626226		2.97638e+13
O5-Z6	626477		1.5473e+13
O5-Z7	626600		2.41296e+14
O6-O5	119.69		168885
O6-O8	4320.72		6.88633e+10
O6-P4	213626		4.20494e+14
O6-P5	218103		1.53238e+13
O6-P8	220568		8.70751e+15
O6-Q4	346551		2.05053e+14
O6-Q5	349354		7.52564e+12
O6-Q8	350936		4.39843e+15
