# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M2-^1	1.9186e+06		-nan
M2-^4	1.91904e+06		-nan
M2-_1	1.92278e+06		5.64847e+13
M2-_4	1.92316e+06		-nan
M2-_5	1.92327e+06		-nan
M2-`1	1.92641e+06		-nan
M2-`4	1.92673e+06		2.15739e+14
M2-`5	1.92683e+06		-nan
M2-a1	1.92956e+06		-nan
M2-a4	1.92985e+06		-nan
M2-b1	1.93233e+06		-nan
M2-b4	1.93258e+06		-nan
M2-b5	1.93266e+06		-nan
M2-c1	1.93477e+06		3.32862e+13
M2-c4	1.935e+06		-nan
M2-c5	1.93506e+06		-nan
M2-d1	1.93694e+06		-nan
M2-d4	1.93713e+06		1.30097e+14
M2-d5	1.93719e+06		-nan
M2-e1	1.93886e+06		2.63665e+13
M2-e4	1.93904e+06		-nan
M2-f1	1.94058e+06		-nan
M2-f4	1.94074e+06		1.03987e+14
M2-f5	1.94079e+06		-nan
M2-g1	1.94213e+06		2.12401e+13
M2-g4	1.94227e+06		-nan
M2-h1	1.94352e+06		-nan
M2-h4	1.94365e+06		8.44274e+13
M2-h5	1.94369e+06		-nan
M2-i1	1.94478e+06		-nan
M2-i4	1.9449e+06		-nan
M2-j1	1.94592e+06		1.57729e+13
M2-j4	1.94603e+06		-nan
M2-j5	1.94606e+06		-nan
M2-k1	1.94696e+06		1.43727e+13
M2-k4	1.94706e+06		6.3324e+13
M2-k5	1.94709e+06		-nan
M2-l1	1.94791e+06		-nan
M2-l4	1.948e+06		5.78709e+13
M2-m1	1.94878e+06		-nan
M2-m4	1.94886e+06		-nan
M2-n1	1.94958e+06		-nan
M2-n4	1.94965e+06		-nan
M2-n5	1.94967e+06		-nan
M2-o1	1.95031e+06		-nan
M2-o4	1.95038e+06		-nan
M2-o5	1.9504e+06		-nan
M2-p1	1.95098e+06		-nan
M2-p4	1.95105e+06		-nan
M2-p5	1.95107e+06		-nan
M2-q1	1.95161e+06		-nan
M2-q4	1.95167e+06		-nan
M2-q5	1.95168e+06		-nan
M2-r1	1.95219e+06		-nan
M2-r4	1.95224e+06		-nan
M2-r5	1.95226e+06		-nan
M3-M1	293089		9.45015e+15
M3-N1	969099		3.08025e+14
M3-N4	812103		9.94239e+15
M3-N5	827265		5.78315e+16
M3-O1	1.17179e+06		1.0917e+16
M3-O4	1.20103e+06		4.28644e+15
M3-O5	1.20935e+06		2.63557e+16
M3-P1	1.40519e+06		5.95968e+15
M3-P4	1.42199e+06		2.26984e+15
M3-P5	1.4268e+06		1.43037e+16
M3-Q1	1.54439e+06		3.62315e+15
M3-Q4	1.55491e+06		1.35377e+15
M3-Q5	1.55793e+06		8.65633e+15
M3-R1	1.63397e+06		2.37065e+15
M3-R4	1.64098e+06		8.75139e+14
M3-R5	1.64301e+06		5.64827e+15
M3-S1	1.69497e+06		1.63723e+15
M3-S4	1.69987e+06		5.99634e+14
M3-S5	1.70129e+06		3.89474e+15
M3-T1	1.73836e+06		1.17867e+15
M3-T4	1.74192e+06		4.29388e+14
M3-T5	1.74296e+06		2.80164e+15
M3-U1	1.77032e+06		8.77018e+14
M3-U4	1.77299e+06		3.18315e+14
M3-U5	1.77376e+06		2.08394e+15
M3-V1	1.79453e+06		6.70358e+14
M3-V4	1.79658e+06		2.42668e+14
M3-V5	1.79718e+06		1.59282e+15
M3-W1	1.81331e+06		5.23978e+14
M3-W4	1.81492e+06		1.89318e+14
M3-W5	1.81539e+06		1.24518e+15
M3-X1	1.82817e+06		4.17369e+14
M3-X4	1.82946e+06		1.5059e+14
M3-X5	1.82983e+06		9.92092e+14
M3-Y1	1.84013e+06		3.37872e+14
M3-Y4	1.84117e+06		1.21782e+14
M3-Y5	1.84148e+06		8.03384e+14
M3-Z1	1.84989e+06		2.77375e+14
M3-Z4	1.85075e+06		9.99008e+13
M3-Z5	1.851e+06		6.59773e+14
M3-[1	1.85797e+06		2.30518e+14
M3-[4	1.85869e+06		8.29776e+13
M3-[5	1.8589e+06		5.48526e+14
M3-\1	1.86473e+06		1.93659e+14
M3-\4	1.86533e+06		6.96807e+13
M3-\5	1.86551e+06		4.60998e+14
M3-]1	1.87044e+06		-nan
M3-]4	1.87095e+06		5.90864e+13
M3-]5	1.8711e+06		3.91178e+14
M3-^1	1.87531e+06		-nan
M3-^4	1.87575e+06		-nan
M3-^5	1.87587e+06		3.34798e+14
M3-_1	1.87949e+06		1.21171e+14
M3-_4	1.87987e+06		-nan
M3-_5	1.87998e+06		-nan
M3-`1	1.88312e+06		-nan
M3-`4	1.88344e+06		3.78252e+13
M3-`5	1.88354e+06		-nan
M3-a1	1.88627e+06		-nan
M3-a4	1.88656e+06		-nan
M3-a5	1.88664e+06		2.19245e+14
M3-b1	1.88904e+06		-nan
M3-b4	1.88929e+06		-nan
M3-b5	1.88937e+06		-nan
M3-c1	1.89148e+06		7.13984e+13
M3-c4	1.89171e+06		-nan
M3-c5	1.89177e+06		-nan
M3-d1	1.89364e+06		-nan
M3-d4	1.89384e+06		2.27914e+13
M3-d5	1.8939e+06		-nan
M3-e1	1.89557e+06		5.6554e+13
M3-e4	1.89575e+06		-nan
M3-e5	1.8958e+06		1.35039e+14
M3-f1	1.89729e+06		-nan
M3-f4	1.89745e+06		1.82123e+13
M3-f5	1.8975e+06		-nan
M3-g1	1.89884e+06		4.5557e+13
M3-g4	1.89898e+06		-nan
M3-g5	1.89902e+06		1.08839e+14
M3-h1	1.90023e+06		-nan
M3-h4	1.90036e+06		1.47833e+13
M3-h5	1.9004e+06		-nan
M3-i1	1.90149e+06		-nan
