# Z = 13, A = 27 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N5-^7	27217.7		1.40368e+11
N6-O4	10642.9		3.01435e+11
N6-O5	10648.7		1.42248e+10
N6-P4	16426.6		1.27953e+11
N6-P5	16429.9		6.04076e+09
N6-P8	16440.1		7.79247e+12
N6-Q4	19904.1		6.68353e+10
N6-Q5	19906.2		3.14829e+09
N6-Q8	19915.3		3.65822e+12
N6-R4	22150		3.97128e+10
N6-R5	22151.4		1.87339e+09
N6-R8	22160.2		2.05413e+12
N6-S4	23678		2.56148e+10
N6-S5	23679		1.20959e+09
N6-S8	23687.5		1.28088e+12
N6-T4	23656.1		1.68973e+10
N6-T5	23656.8		7.98301e+08
N6-T8	23657.1		8.36709e+11
N6-U4	24478.2		1.22183e+10
N6-U5	24478.7		5.77297e+08
N6-U8	24479		5.9581e+11
N6-V4	25103.4		9.14278e+09
N6-V5	25103.8		4.31952e+08
N6-V8	25104.1		4.409e+11
N6-W4	25590		7.03173e+09
N6-W5	25590.3		3.32172e+08
N6-W8	25590.5		3.36273e+11
N6-X4	25976.1		5.53122e+09
N6-X5	25976.4		2.61252e+08
N6-X8	25976.5		2.62812e+11
N6-Y4	26287.6		4.43356e+09
N6-Y5	26287.8		2.09377e+08
N6-Y8	26287.9		2.09584e+11
N6-Z4	26542.5		3.61098e+09
N6-Z5	26542.6		1.70508e+08
N6-Z8	26542.7		1.69999e+11
N6-[4	26753.7		2.98174e+09
N6-[5	26753.9		1.4078e+08
N6-[8	26753.9		1.39904e+11
N6-\4	26930.7		2.49181e+09
N6-\5	26930.9		1.17636e+08
N6-\8	26930.9		1.16591e+11
N6-]4	27080.6		2.1044e+09
N6-]5	27080.7		9.93374e+07
N6-]8	27080.7		9.82342e+10
N6-^4	27208.5		-nan
N6-^5	27208.6		8.4672e+07
N6-^8	27208.6		8.35726e+10
N7-O5	10643.1		2.85658e+11
N7-P5	16424.4		1.21235e+11
N7-P8	16434.5		2.8805e+11
N7-P9	16435.5		8.07523e+12
N7-Q5	19900.6		6.3371e+10
N7-Q8	19909.7		1.35208e+11
N7-Q9	19910.4		3.79023e+12
N7-R5	22145.9		3.76266e+10
