# Z = 6, A = 12 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N6-^5	5667.42		3.77334e+06
N6-^8	5667.42		3.696e+09
N7-O5	2254.52		1.27872e+10
N7-P5	3477.43		5.42348e+09
N7-P8	3479.44		1.29818e+10
N7-P9	3479.48		3.63595e+11
N7-Q5	4211.59		2.82928e+09
N7-Q8	4213.81		6.0834e+09
N7-Q9	4213.84		1.70338e+11
N7-R5	4684.28		1.6737e+09
N7-R8	4686.71		3.40223e+09
N7-R9	4686.73		9.53209e+10
N7-S5	5004.15		1.07243e+09
N7-S8	5006.73		2.10873e+09
N7-S9	5006.75		5.90912e+10
N7-T5	4914.67		7.08943e+08
N7-T8	4914.68		1.36614e+09
N7-T9	4914.69		3.8281e+10
N7-U5	5088.8		5.12944e+08
N7-U8	5088.81		9.73453e+08
N7-U9	5088.82		2.72747e+10
N7-V5	5221.24		3.84016e+08
N7-V8	5221.25		7.20713e+08
N7-V9	5221.26		2.01913e+10
N7-W5	5324.32		2.95466e+08
N7-W8	5324.32		5.49892e+08
N7-W9	5324.33		1.54043e+10
N7-X5	5406.1		2.32492e+08
N7-X8	5406.1		4.29889e+08
N7-X9	5406.11		1.20418e+10
N7-Y5	5472.08		1.86404e+08
N7-Y8	5472.08		3.42901e+08
N7-Y9	5472.09		9.60464e+09
N7-Z5	5526.08		1.51853e+08
N7-Z8	5526.08		2.78186e+08
N7-Z9	5526.08		7.79159e+09
N7-[5	5570.83		1.25415e+08
N7-[8	5570.83		2.28973e+08
N7-[9	5570.83		6.41293e+09
N7-\5	5608.33		1.04825e+08
N7-\8	5608.33		1.90841e+08
N7-\9	5608.34		5.34469e+09
N7-]5	5640.07		8.85388e+07
N7-]8	5640.07		1.6081e+08
N7-]9	5640.07		4.5034e+09
N7-^4	5667.16		-nan
N7-^5	5667.17		7.54822e+07
N7-^8	5667.17		1.3682e+08
N7-^9	5667.17		3.83134e+09
O1-P2	1222.07		6.43257e+10
O1-P3	1222.51		6.41745e+10
O1-Q2	1956.52		4.18526e+10
O1-Q3	1956.8		4.17832e+10
O1-R2	2429.36		2.78898e+10
O1-R3	2429.54		2.78317e+10
O1-S2	2749.31		1.92655e+10
O1-S3	2749.44		1.92415e+10
O1-T2	2660.7		1.2826e+10
O1-T3	2660.8		1.28155e+10
O1-U2	2834.87		9.69023e+09
O1-U3	2834.94		9.6827e+09
O1-V2	2967.33		7.49077e+09
O1-V3	2967.39		7.48432e+09
O1-W2	3070.42		5.90623e+09
O1-W3	3070.46		5.90049e+09
O1-X2	3152.21		4.73723e+09
O1-X3	3152.25		4.73215e+09
O1-Y2	3218.2		3.85662e+09
O1-Y3	3218.23		3.85217e+09
O1-Z2	3272.21		3.18096e+09
O1-Z3	3272.23		3.17708e+09
O1-[2	3316.96		2.65408e+09
O1-[3	3316.98		2.65071e+09
O1-\2	3354.47		2.23726e+09
